Num,y
348622,2390.69410822
348623,29578.8562531
348624,312853.953501
348625,33991.9576639
348626,21.347038382
348627,150204.911847
348628,93863.782512
348629,87147.817526
348630,92586.0238241
348631,2265.12474601
348632,1561.58575703
348633,59278.714508
348634,307179.129066
348635,27949.3014923
348636,2183.27924834
348637,206619.268312
348638,125769.106886
348639,540642.579125
348640,552231.852225
348641,2363.45846548
348642,122879.149788
348643,86615.4049661
348644,1532.22591997
348645,21937.0750369
348646,8582.14484708
348647,152655.584502
348648,7777.07417447
348649,22277.1669026
348650,4677.7002594
348651,23247.6160377
348652,21731.7010098
348653,265687.077037
348654,10905.1671475
348655,25869.760207
348656,13567.6386852
348657,3510.97823747
348658,43139.9333827
348659,1226.98725337
348660,151.730587063
348661,12228.2884959
348662,4629.45741693
348663,21733.8672811
348664,1632839.47007
348665,98643.4491557
348666,351590.302372
348667,970425.58534
348668,92212.9624932
348669,33802.9411539
348670,23198.5360263
348671,128.445611296
348672,44499.5400307
348673,153.28668976
348674,270.30539118
348675,3166928.87172
348676,412364.679062
348677,8464.24406021
348678,54666.5250188
348679,343282.598284
348680,17266.7472334
348681,872.434123264
348682,39410.7099856
348683,2394.05848592
348684,1238.72018695
348685,17515.7474371
348686,212043.211736
348687,8345.1906339
348688,151824.646034
348689,13402.830549
348690,4878.83512031
348691,224831.179005
348692,18352.9906888
348693,187620.108568
348694,140851.834555
348695,143153.462565
348696,81388.6396285
348697,78725.5149815
348698,996.323810808
348699,18225.3902561
348700,15676.4174648
348701,86127.7564531
348702,9013.43772133
348703,45725.2174457
348704,85662.327515
348705,165009.399827
348706,145563.454537
348707,27083.1282079
348708,9252.1527072
348709,81000.7664643
348710,88472.6582337
348711,38369.8950723
348712,7103.05393357
348713,96946.8463277
348714,102963.62266
348715,197958.316127
348716,10820.8845192
348717,255.894102566
348718,2179.13459545
348719,4933.10720836
348720,15423.0565633
348721,144364.445408
348722,2187.53691135
348723,313.916358131
348724,19924.385814
348725,8874.02161163
348726,6575.37945708
348727,87560.3271092
348728,240574.612153
348729,35280.8900382
348730,1121840.86622
348731,307786.414466
348732,37496.8259035
348733,212139.319392
348734,871.535429542
348735,2750479.02204
348736,45210.1000214
348737,31872.3776807
348738,717669.84362
348739,577433.120614
348740,656243.164265
348741,1419905.45377
348742,135649.471491
348743,122778.049662
348744,2365.44369029
348745,10877.9606585
348746,130.462649648
348747,15278.6732215
348748,101195.064427
348749,3589.46771426
348750,33465.3624213
348751,441891.842331
348752,122864.769253
348753,562447.513106
348754,292271.036109
348755,100517.274216
348756,63584.323208
348757,810.247261625
348758,17895.6318738
348759,290340.583146
348760,710759.665065
348761,295938.680514
348762,19887.3264105
348763,29648.2323652
348764,116.583993397
348765,13537.1465322
348766,138655.642094
348767,2898.35618252
348768,309.798620489
348769,101002.138842
348770,14718.0679904
348771,2633.73860375
348772,1498.17533867
348773,143175.953037
348774,679913.901601
348775,2990.9231563
348776,22897.1611266
348777,128.824162022
348778,18447.8428299
348779,96448.2094475
348780,193829.021845
348781,133634.845759
348782,288061.226635
348783,369175.658988
348784,13894.3890828
348785,9441.30110691
348786,15241.9136112
348787,1903.83051563
348788,3433.06519612
348789,77515.6674828
348790,21726.4150399
348791,676393.384974
348792,498410.220805
348793,341.182213161
348794,671.969619869
348795,20.8587036417
348796,1902.42641823
348797,1242.897627
348798,83165.6160747
348799,9966.84052987
348800,1393.11577275
348801,3724.72599662
348802,1487.71625081
348803,728.318477669
348804,1637.55878096
348805,3403.86412036
348806,898772.162905
348807,30006.7492771
348808,1329390.4889
348809,354580.435273
348810,23456.4676696
348811,18116.0830814
348812,1498.62153788
348813,30406.175418
348814,50413.2235765
348815,79629.8737242
348816,239705.674492
348817,95442.3913941
348818,119.131933669
348819,291462.107646
348820,21192.0568477
348821,247.440359221
348822,76.1491147883
348823,20467.7551871
348824,71.8443648054
348825,37.3343221944
348826,602.704139843
348827,41.2523977291
348828,124416.610838
348829,695726.766025
348830,310220.86342
348831,647640.632994
348832,26661.4335381
348833,2571.76569941
348834,38586.884914
348835,150902.69982
348836,606085.890751
348837,110.742345677
348838,210.231558357
348839,153.505704004
348840,5927.59713641
348841,42235.4516123
348842,19433.3208567
348843,592.408760935
348844,4835.11306905
348845,260105.509292
348846,608376.13792
348847,20017.5594274
349519,2228.25070986
349520,28338.8657568
349521,296778.458118
349522,29614.8998505
349523,21.3559220415
349524,145229.866002
349525,94470.2016107
349526,72904.4941683
349527,82080.17058
349528,1506.26007041
349529,652.032321584
349530,63861.0163152
349531,289516.909913
349532,25787.4901245
349533,2309.05205644
349534,185017.874321
349535,92904.7047903
349536,526415.621186
349537,528367.172612
349538,1713.99582949
349539,111805.787701
349540,79859.6270675
349541,1257.95278213
349542,22574.4614737
349543,6924.72842971
349544,117541.596449
349545,7077.66792544
349546,21853.0732291
349547,4186.01948939
349548,23005.9722541
349549,19339.6834662
349550,263033.691669
349551,6817.00761909
349552,26706.5837148
349553,12094.9006501
349554,2832.43524168
349555,54982.2344144
349556,1309.03096449
349557,144.281393475
349558,10796.3563716
349559,3219.87023032
349560,17205.9096608
349561,1406534.04595
349562,82745.9380082
349563,319666.164884
349564,993381.91341
349565,89406.1213109
349566,29079.7465145
349567,23183.453902
349568,169.049326126
349569,42949.1394326
349570,170.333993851
349571,158.74705598
349572,2836797.39731
349573,371426.726335
349574,6940.33420998
349575,46974.9464771
349576,319264.016721
349577,16780.0981337
349578,925.020177681
349579,35482.2407359
349580,2044.65634566
349581,1227.63454096
349582,14147.2466395
349583,152406.346656
349584,5466.40549121
349585,129694.818048
349586,19341.8355999
349587,4657.8946286
349588,191448.719272
349589,16991.9948093
349590,183449.658452
349591,130879.228252
349592,119336.987938
349593,84102.0170084
349594,84149.6090914
349595,1186.80325559
349596,18136.8229017
349597,15079.6774926
349598,74342.3699612
349599,9489.84266909
349600,43424.3177897
349601,72542.0531457
349602,162078.108447
349603,115324.968429
349604,25033.1680025
349605,6951.37324087
349606,67446.5602372
349607,77418.5322795
349608,33695.4523863
349609,5782.99024869
349610,89937.9538956
349611,90166.0492668
349612,187016.699872
349613,11383.6870128
349614,337.381171925
349615,2262.60985247
349616,4149.89230247
349617,14530.294256
349618,115758.131518
349619,1799.22675879
349620,360.176062695
349621,17632.045595
349622,6538.62258704
349623,5060.02038443
349624,78076.8620294
349625,286371.721213
349626,26423.9756531
349627,993618.282921
349628,280538.796141
349629,36471.6589595
349630,186131.485932
349631,726.0612818
349632,2674911.35473
349633,38635.7737784
349634,29706.4811855
349635,706839.684185
349636,575177.59722
349637,603259.889292
349638,1486073.74987
349639,132190.004688
349640,105576.044788
349641,2088.22452838
349642,7473.03775265
349643,125.374771761
349644,13739.4256725
349645,92289.6631373
349646,3483.5041031
349647,29452.3986542
349648,397127.785265
349649,98052.5402313
349650,493005.292323
349651,265268.165157
349652,93681.1091447
349653,66335.482792
349654,654.35388152
349655,17216.0146845
349656,275939.581977
349657,647410.268472
349658,323858.565701
349659,20135.1668651
349660,28293.6201142
349661,145.496581646
349662,9040.0783194
349663,117048.867068
349664,2778.50035767
349665,210.892983942
349666,80230.1429766
349667,11466.841173
349668,2538.96166341
349669,1620.52212452
349670,136964.258151
349671,760398.171317
349672,2665.30772544
349673,24728.3283155
349674,126.946598139
349675,17094.4944321
349676,87541.2185058
349677,170678.008063
349678,98905.2398559
349679,271744.878744
349680,363952.75438
349681,10973.1642687
349682,6549.5662131
349683,15620.0535729
349684,1567.65565178
349685,3786.45723283
349686,72752.5650461
349687,20452.9909503
349688,637811.170913
349689,443837.920765
349690,328.339831805
349691,589.058262962
349692,26.8498819621
349693,1870.43698418
349694,1284.10081423
349695,84865.6435217
349696,7012.60588057
349697,1187.75021661
349698,2975.26876935
349699,1010.3383357
349700,463.993159736
349701,1683.45798148
349702,2969.39464419
349703,822845.613442
349704,29712.1480978
349705,1457360.15694
349706,360069.076032
349707,21756.4141283
349708,16119.1196649
349709,648.706164204
349710,27411.8563192
349711,39753.1422419
349712,76403.8183697
349713,225588.216427
349714,89411.0897605
349715,97.6087156465
349716,275585.385842
349717,16826.0995395
349718,256.305085456
349719,69.5520316567
349720,20372.5767133
349721,47.2753505467
349722,35.4987436906
349723,418.313290026
349724,38.7950725768
349725,113299.160506
349726,642611.221951
349727,285088.374513
349728,553632.623983
349729,28291.9579782
349730,2061.47535872
349731,30493.9499701
349732,138431.845406
349733,533875.345474
349734,74.5185659033
349735,184.085835257
349736,211.95899194
349737,5607.64584399
349738,45099.1725875
349739,17093.4156872
349740,474.352179387
349741,2469.05418717
349742,241789.315487
349743,558970.300368
349744,19751.799191
349745,26308.8526406
349746,307436.052776
349747,30787.7223471
349748,32.3655771433
349749,162404.646761
349750,109861.512087
349751,81205.5328146
349752,78361.5594492
349753,1355.99942272
349754,570.899466536
349755,61495.8118067
349756,309999.405681
349757,27300.40333
349758,1350999.03884
349759,2388.55960224
349760,2187.8165551
349761,200826.850605
349762,117256.790732
349763,577190.466993
349764,538102.950603
349765,1538.9932441
349766,113803.209222
349767,82496.4115008
349768,1274.66341801
349769,22647.7381275
349770,7840.44461628
349771,135796.634209
